23/Mar/2019:19:17:28 +0000	35.187.132.63	/blog/ 
23/Mar/2019:19:17:28 +0000	208.87.233.140	/blog 
23/Mar/2019:19:17:29 +0000	208.87.233.140	/blog/ 
23/Mar/2019:19:17:32 +0000	35.187.132.61	/IRS/ 
23/Mar/2019:19:17:33 +0000	208.87.233.140	/blog/vendor/jquery/jquery.min.js 
23/Mar/2019:19:17:33 +0000	208.87.233.140	/blog/vendor/bootstrap/js/bootstrap.min.js 
23/Mar/2019:19:17:33 +0000	204.13.201.138	/IRS/ 
23/Mar/2019:19:17:33 +0000	208.87.233.140	/blog/js/clean-blog.min.js 
23/Mar/2019:19:17:34 +0000	208.87.233.140	/blog/vendor/font-awesome/css/font-awesome.min.css 
23/Mar/2019:19:17:34 +0000	208.87.233.140	/IRS 
23/Mar/2019:19:17:34 +0000	208.87.233.140	/blog/js/jqBootstrapValidation.js 
23/Mar/2019:19:17:34 +0000	208.87.233.140	/blog/js/contact_me.js 
23/Mar/2019:19:17:34 +0000	208.87.233.140	/IRS/ 
23/Mar/2019:19:17:34 +0000	204.13.201.139	/blog/ 
23/Mar/2019:19:22:36 +0000	37.252.185.196	/IRS/ 
23/Mar/2019:19:22:36 +0000	92.23.60.181	/IRS/ 
23/Mar/2019:19:22:36 +0000	196.52.84.50	/IRS/ 
23/Mar/2019:19:22:36 +0000	165.227.0.128	/IRS/ 
23/Mar/2019:19:22:40 +0000	185.229.190.136	/IRS/ 
23/Mar/2019:19:22:56 +0000	185.229.190.136	/IRS/ 
23/Mar/2019:19:22:56 +0000	185.229.190.136	/IRS/style/css/styles-nonie-1022.css 
23/Mar/2019:19:22:56 +0000	185.229.190.136	/IRS/style/css/logo.png 
23/Mar/2019:19:22:56 +0000	185.229.190.136	/IRS/style/css/password-feedback-styles-nonie-1024.css 
23/Mar/2019:19:22:56 +0000	185.229.190.136	/IRS/style/css/button_create_account.jpg 
23/Mar/2019:19:22:56 +0000	185.229.190.136	/IRS/style/css/button_login.jpg 
23/Mar/2019:19:22:56 +0000	185.229.190.136	/IRS/style/css/table.css 
23/Mar/2019:19:23:17 +0000	185.229.190.136	/IRS/ 
23/Mar/2019:19:23:17 +0000	185.229.190.136	/IRS/style/css/styles-nonie-1022.css 
23/Mar/2019:19:23:17 +0000	185.229.190.136	/IRS/style/css/password-feedback-styles-nonie-1024.css 
23/Mar/2019:19:23:17 +0000	185.229.190.136	/IRS/style/css/logo.png 
23/Mar/2019:19:23:17 +0000	185.229.190.136	/IRS/style/css/table.css 
23/Mar/2019:19:23:17 +0000	185.229.190.136	/IRS/style/css/button_login.jpg 
23/Mar/2019:19:23:17 +0000	185.229.190.136	/IRS/style/css/button_create_account.jpg 
23/Mar/2019:19:23:31 +0000	185.229.190.136	/IRS/system/send_login.php 
23/Mar/2019:19:23:31 +0000	185.229.190.136	/IRS/style/css/Error-Icon.gif 
23/Mar/2019:19:23:31 +0000	185.229.190.136	/IRS/style/css/styles-nonie-1024.css 
23/Mar/2019:19:23:31 +0000	185.229.190.136	/IRS/style/css/button_continue.jpg 
23/Mar/2019:19:24:12 +0000	185.229.190.136	/IRS/system/send_login.php 
23/Mar/2019:19:24:44 +0000	185.229.190.136	/IRS/system/send_login.php 
23/Mar/2019:19:24:58 +0000	185.229.190.136	/IRS/system/send_login.php 
23/Mar/2019:19:25:16 +0000	185.229.190.136	/IRS/system/send_login.php 
23/Mar/2019:19:25:30 +0000	185.229.190.136	/IRS/system/send_login.php 
